Ticket Number,Account Name,Category,Severity
5377-10197903,"Charmer Sunbelt Group, LLC.",S - PER - parent request,Sev 3
5377-10198033,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10198033,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10198033,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10285463,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10285463,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10285463,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10285463,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10285464,Westwood Shipping Lines,S - PER - parent request,Sev 2
5377-10285464,Westwood Shipping Lines,S - PER - parent request,Sev 2
5377-10285464,Westwood Shipping Lines,S - PER - parent request,Sev 2
5377-10507701,Micron Technology Inc,S - PER - parent request,Sev 4
5377-10507701,Micron Technology Inc,S - PER - parent request,Sev 4
5377-10507701,Micron Technology Inc,S - PER - parent request,Sev 4
5377-10507701,Micron Technology Inc,S - PER - parent request,Sev 4
5377-10513841,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513841,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513841,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513841,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513843,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513843,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513843,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513843,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513843,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513843,Micron Technology Inc,S - PER - Other,Sev 4
5377-10546004,Micron Technology Inc,S - PER - Communication,Sev 4
5377-10546004,Micron Technology Inc,S - PER - Communication,Sev 4
5377-10546004,Micron Technology Inc,S - PER - Communication,Sev 4
5377-10546004,Micron Technology Inc,S - PER - Communication,Sev 4
5377-10546004,Micron Technology Inc,S - PER - Communication,Sev 4
5377-10546004,Micron Technology Inc,S - PER - Communication,Sev 4
5377-10696813,DEVANLAY LACOSTE,S - PER - New Map,Sev 3
5377-10696813,DEVANLAY LACOSTE,S - PER - New Map,Sev 3
5377-10696813,DEVANLAY LACOSTE,S - PER - New Map,Sev 3
5377-10849615,Westwood Shipping Lines,S - PER - New Map,Sev 3
5377-10849615,Westwood Shipping Lines,S - PER - New Map,Sev 3
5377-10854713,Sandoz Inc,S - PER - Map Change,Sev 3
5377-10854713,Sandoz Inc,S - PER - Map Change,Sev 3
5377-10870085,Husqvarna (S),S - PER - Map Change,Sev 4
5377-10870085,Husqvarna (S),S - PER - Map Change,Sev 4
5377-10870085,Husqvarna (S),S - PER - Map Change,Sev 4
5377-10870085,Husqvarna (S),S - PER - Map Change,Sev 4
5377-10875718,"Stanley Black & Decker, Inc",S - PER - Map Change,Sev 4
5377-10875718,"Stanley Black & Decker, Inc",S - PER - Map Change,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10876527,"Stanley Black & Decker, Inc",S - PER - New Map,Sev 4
5377-10886051,OLAM AMERICAS INC,S - PER - Map Change,Sev 4
5377-10886051,OLAM AMERICAS INC,S - PER - Map Change,Sev 4
5377-10886051,OLAM AMERICAS INC,S - PER - Map Change,Sev 4
5377-10886051,OLAM AMERICAS INC,S - PER - Map Change,Sev 4
5377-10886051,OLAM AMERICAS INC,S - PER - Map Change,Sev 4
5377-10886051,OLAM AMERICAS INC,S - PER - Map Change,Sev 4
5377-10925983,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10925983,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10925983,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10925983,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10925983,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10925983,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10925983,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10947132,ThyssenKrupp Technologies AG,S - PER - Map Change,Sev 2
5377-10947132,ThyssenKrupp Technologies AG,S - PER - Map Change,Sev 2
5377-10947132,ThyssenKrupp Technologies AG,S - PER - Map Change,Sev 2
5377-10947132,ThyssenKrupp Technologies AG,S - PER - Map Change,Sev 2
5377-10947132,ThyssenKrupp Technologies AG,S - PER - Map Change,Sev 2
5377-10947132,ThyssenKrupp Technologies AG,S - PER - Map Change,Sev 2
5377-10947132,ThyssenKrupp Technologies AG,S - PER - Map Change,Sev 2
5377-10950795,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10950795,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10950795,ThyssenKrupp Technologies AG,S - PER - New Map,Sev 4
5377-10962967,Westwood Shipping Lines,S - PER - New Map,Sev 4
5377-10962967,Westwood Shipping Lines,S - PER - New Map,Sev 4
5377-10963248,Westwood Shipping Lines,S - PER - New Map,Sev 2
5377-10963248,Westwood Shipping Lines,S - PER - New Map,Sev 2
5377-10986237,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-10986237,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-10986237,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-10986237,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-10986237,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-10986237,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-10986237,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-11005180,"Hub Group, Inc.",S - PER - parent request,Sev 4
5377-11005180,"Hub Group, Inc.",S - PER - parent request,Sev 4
5377-11005180,"Hub Group, Inc.",S - PER - parent request,Sev 4
5377-11019277,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 2
5377-11019277,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 2
5377-11019277,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 2
5377-11019277,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 2
5377-11077020,Deluxe Corporation,S - PER - Map Change,Sev 4
5377-11077020,Deluxe Corporation,S - PER - Map Change,Sev 4
5377-11080305,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-11080305,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-11080305,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-11080305,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-11080305,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-11080305,"HIS CO., INC.",S - PER - New Map,Sev 4
5377-11082737,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 3
5377-11082737,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 3
5377-11082737,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 3
5377-11082737,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 3
5377-11082737,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 3
5377-11082737,"Charmer Sunbelt Group, LLC.",S - PER - Map Change,Sev 3
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11132948,School Specialty Inc,S - PER - Map Change,Sev 3
5377-11132948,School Specialty Inc,S - PER - Map Change,Sev 3
5377-11132948,School Specialty Inc,S - PER - Map Change,Sev 3
5377-11132948,School Specialty Inc,S - PER - Map Change,Sev 3
5377-11133009,School Specialty Inc,S - PER - Map Change,Sev 3
5377-11133009,School Specialty Inc,S - PER - Map Change,Sev 3
5377-11133044,School Specialty Inc,S - PER - New Map,Sev 3
5377-11133044,School Specialty Inc,S - PER - New Map,Sev 3
5377-11133069,School Specialty Inc,S - PER - New Map,Sev 3
5377-11133069,School Specialty Inc,S - PER - New Map,Sev 3
5377-11133069,School Specialty Inc,S - PER - New Map,Sev 3
5377-11133069,School Specialty Inc,S - PER - New Map,Sev 3
5377-11135418,Pitney Bowes Inc,S - PER - Map Change,Sev 4
5377-11148984,Highbury Canco Corporation,S - PER - Map Change,Sev 3
5377-11148984,Highbury Canco Corporation,S - PER - Map Change,Sev 3
5377-11148984,Highbury Canco Corporation,S - PER - Map Change,Sev 3
5377-11148984,Highbury Canco Corporation,S - PER - Map Change,Sev 3
5377-11148984,Highbury Canco Corporation,S - PER - Map Change,Sev 3
5377-11194677,"Ingersoll-Rand Company, through its Security Technologies Sector",S - PER - New Map,Sev 4
5377-11194677,"Ingersoll-Rand Company, through its Security Technologies Sector",S - PER - New Map,Sev 4
5377-11198508,Krono Services GmbH,S - PER - parent request,Sev 3
5377-11198508,Krono Services GmbH,S - PER - parent request,Sev 3
5377-11198508,Krono Services GmbH,S - PER - parent request,Sev 3
5377-11198508,Krono Services GmbH,S - PER - parent request,Sev 3
5377-11198508,Krono Services GmbH,S - PER - parent request,Sev 3
5377-11198508,Krono Services GmbH,S - PER - parent request,Sev 3
5377-11198508,Krono Services GmbH,S - PER - parent request,Sev 3
5377-11212178,"CEVA Logistics US, Inc.",S - Proactive Notification,Sev 3
5377-11212178,"CEVA Logistics US, Inc.",S - Proactive Notification,Sev 3
5377-11214086,ASC Industries Inc,S - Map Change,Sev 3
5377-11218601,Toyota Material Handling Europe AB,S - PER - New Map,Sev 4
5377-11218601,Toyota Material Handling Europe AB,S - PER - New Map,Sev 4
5377-11224625,Sophos PLC ,S - PER - New Map,Sev 3
5377-11224625,Sophos PLC ,S - PER - New Map,Sev 3
5377-11227687,ASC Industries Inc,S - Map Change,Sev 3
5377-11227687,ASC Industries Inc,S - Map Change,Sev 3
5377-11227687,ASC Industries Inc,S - Map Change,Sev 3
5377-11227687,ASC Industries Inc,S - Map Change,Sev 3
5377-11227687,ASC Industries Inc,S - Map Change,Sev 3
5377-11235780,Eddie Stobart Ltd,S - PER - New Map,Sev 4
5377-11235780,Eddie Stobart Ltd,S - PER - New Map,Sev 4
5377-11235780,Eddie Stobart Ltd,S - PER - New Map,Sev 4
5377-11235780,Eddie Stobart Ltd,S - PER - New Map,Sev 4
5377-11235780,Eddie Stobart Ltd,S - PER - New Map,Sev 4
5377-11243478,"Charmer Sunbelt Group, LLC.",S - Map Change,Sev 4
5377-11243478,"Charmer Sunbelt Group, LLC.",S - Map Change,Sev 4
5377-11254743,Westwood Shipping Lines,S - PER - New Map,Sev 3
5377-11254743,Westwood Shipping Lines,S - PER - New Map,Sev 3
5377-11268243,"BBU, INC",S - PER - New Map,Sev 4
5377-11268243,"BBU, INC",S - PER - New Map,Sev 4
5377-11268243,"BBU, INC",S - PER - New Map,Sev 4
