Ticket Number,Account Name,Category,Severity
5377-10197903,"Charmer Sunbelt Group, LLC.",S - PER - parent request,Sev 3
5377-10198033,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10285463,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10285464,Westwood Shipping Lines,S - PER - parent request,Sev 2
5377-10507701,Micron Technology Inc,S - PER - parent request,Sev 4
5377-10513841,Micron Technology Inc,S - PER - Other,Sev 4
5377-10513843,Micron Technology Inc,S - PER - Other,Sev 4
5377-10546004,Micron Technology Inc,S - PER - Communication,Sev 4
5377-10777023,KATZ GROUP INC,S - PER - parent request,Sev 4
5377-10838875,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-10849615,Westwood Shipping Lines,S - PER - New Map,Sev 3
5377-10893511,KATZ GROUP INC,S - PER - parent request,Sev 4
5377-10962435,Westwood Shipping Lines,S - PER - New Map,Sev 4
5377-10962967,Westwood Shipping Lines,S - PER - New Map,Sev 4
5377-10963248,Westwood Shipping Lines,S - PER - New Map,Sev 2
5377-11003153,Westwood Shipping Lines,S - PER - parent request,Sev 4
5377-11025215,"Sterling Commerce, Inc. - Single Sign On",S - PER - Other,Sev 3
5377-11025217,"Sterling Commerce, Inc. - Single Sign On",S - PER - Other,Sev 3
5377-11067090,Toyota Material Handling Europe AB,S - PER - parent request,Sev 3
5377-11074355,Schlueter-Systems KG,S - PER - parent request,Sev 3
5377-11094410,"Ardex, Inc.",S - PER - parent request,Sev 4
5377-11126775,Toyota Material Handling Europe AB,S - PER - parent request,Sev 3
5377-11129660,"Ardex, Inc.",S - PER - New Map,Sev 2
5377-11171966,Westwood Shipping Lines,S - PER - New Map,Sev 3
5377-11213900,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 3
5377-11218601,Toyota Material Handling Europe AB,S - PER - New Map,Sev 4
5377-11254743,Westwood Shipping Lines,S - PER - New Map,Sev 3
5377-11286885,August Brötje GmbH,S - PER - parent request,Sev 2
5377-11322141,Toyota Material Handling Europe AB,S - PER - New Map,Sev 4
5377-11390950,Schlueter-Systems KG,S - PER - Map Change,Sev 3
5377-11606330,Micron Technology Inc,S - PER - New Map,Sev 4
5377-11608456,Makita USA Inc,S - PER - parent request,Sev 4
5377-11632150,Toyota Material Handling Europe AB,S - PER - parent request,Sev 4
5377-11650296,Makita USA Inc,S - PER - New Map,Sev 4
5377-11659641,Andersen Corporation,S - PER - parent request,Sev 4
5377-11674634,,S - PER - parent request,Sev 3
5377-11690593,Intersafe Holding B.V.,S - PER - parent request,Sev 3
5377-11700279,Andersen Corporation,S - PER - New Map,Sev 4
5377-11704698,August Brötje GmbH,S - PER - New Map,Sev 2
5377-11709302,"CEVA Logistics US, Inc.",S - Proactive Notification,Sev 3
5377-11711686,Micron Technology Inc,S - PER - Communication,Sev 4
5377-11731891,,S - PER - parent request,Sev 4
5377-11744513,Kennametal Inc,S - PER - New Map,Sev 3
5377-11750420,Eddie Stobart Ltd,S - PER - parent request,Sev 3
5377-11762126,Eddie Stobart Ltd,S - PER - New Map,Sev 4
5377-11762145,Eddie Stobart Ltd,S - PER - New Map,Sev 2
5377-11777998,Tesla Motors,S - PER - New Map,Sev 3
5377-11788352,Micron Technology Inc,S - PER - New Map,Sev 2
5377-11806237,Andersen Corporation,S - PER - parent request,Sev 4
5377-11824517,Andersen Corporation,S - PER - parent request,Sev 4
5377-11887090,"Allied Bakeries, a division of ABF Grain Products Limited",S - PER - New Map,Sev 2
5377-11908491,Micron Technology Inc,S - PER - New Map,Sev 4
5377-11922513,Toyota Material Handling Europe AB,S - PER - New Map,Sev 4
5377-11932737,Micron Technology Inc,S - PER - New Map,Sev 4
5377-11932973,Micron Technology Inc,S - PER - New Map,Sev 2
5377-11933217,Micron Technology Inc,S - PER - New Map,Sev 4
5377-11933232,Micron Technology Inc,S - PER - New Map,Sev 4
5377-11962677,Micron Technology Inc,S - PER - parent request,Sev 4
5377-11994743,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 4
5377-12046766,The Jordans & Ryvita Company Limited,S - PER - Map Change,Sev 3
5377-12075173,"Ardex, Inc.",S - PER - parent request,Sev 3
5377-12131499,Veritas,S - PER - parent request,Sev 4
5377-12131572,Olin Corporation,S - PER - parent request,Sev 4
5377-12133083,Micron Technology Inc,S - PER - New Map,Sev 4
5377-12140898,"Ardex, Inc.",S - PER - New Map,Sev 3
5377-12206269,Olin Corporation,S - PER - New TP,Sev 4
5377-12235345,KATZ GROUP INC,S - PER - New TP,Sev 4
5377-12250671,Tecumseh Products Company,S - PER - parent request,Sev 3
5377-12258376,Boxal,S - PER - parent request,Sev 3
5377-12269538,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 4
5377-12273750,"Polycom, Inc.",S - PER - parent request,Sev 3
5377-12291092,"CEVA Logistics US, Inc.",S - PER - New Map,Sev 4
5377-12318261,Veritas,S - PER - New Map,Sev 4
5377-12330255,"Polycom, Inc.",S - PER - Other,Sev 3
5377-12333768,"Allied Bakeries, a division of ABF Grain Products Limited",S - PER - parent request,Sev 3
5377-12335925,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 4
5377-12336973,"CEVA Logistics US, Inc.",S - PER - New Map,Sev 4
5377-12349946,"CEVA Logistics US, Inc.",S - PER - New Map,Sev 2
5377-12353323,DEVANLAY LACOSTE,S - Map Change,Sev 3
5377-12353365,DEVANLAY LACOSTE,S - Map Research,Sev 2
5377-12368260,DEVANLAY LACOSTE,S - PER - New Map,Sev 3
5377-12368376,"Allied Bakeries, a division of ABF Grain Products Limited",S - PER - New Map,Sev 2
5377-12388511,ArvinMeritor Inc (MI),S - PER - New Map,Sev 2
5377-12389116,Micron Technology Inc,S - PER - parent request,Sev 4
5377-12389221,"CEVA Logistics US, Inc.",S - PER - New Map,Sev 4
5377-12389282,"CEVA Logistics US, Inc.",S - PER - New Map,Sev 4
5377-12389306,"CEVA Logistics US, Inc.",S - PER - New Map,Sev 2
5377-12389315,"CEVA Logistics US, Inc.",S - PER - Communication,Sev 4
5377-12389444,Lindt & Sprungli (International) AG,S - PER - parent request,Sev 3
5377-12394939,Micron Technology Inc,S - PER - New Map,Sev 4
5377-12394965,Micron Technology Inc,S - PER - New Map,Sev 4
5377-12394980,Micron Technology Inc,S - PER - New Map,Sev 4
5377-12395772,ArvinMeritor Inc (MI),S - PER - parent request,Sev 4
5377-12399554,Toyota Material Handling Europe AB,S - PER - parent request,Sev 2
5377-12407376,Makita USA Inc,S - PER - parent request,Sev 4
5377-12413051,Lindt & Sprungli (International) AG,S - PER - parent request,Sev 3
5377-12413383,Makita USA Inc,S - PER - parent request,Sev 4
5377-12418030,Makita USA Inc,S - PER - New Map,Sev 4
5377-12418054,Makita USA Inc,S - PER - New Map,Sev 4
5377-12418290,Makita USA Inc,S - PER - New Map,Sev 4
5377-12418303,Makita USA Inc,S - PER - New Map,Sev 4
5377-12427598,Micron Technology Inc,S - PER - parent request,Sev 4
5377-12429728,NXP (Freescale Semiconductor Inc),S - PER - parent request,Sev 4
5377-12434796,Micron Technology Inc,S - PER - New Map,Sev 4
5377-12441872,"CEVA Logistics US, Inc.",S - PER - New TP,Sev 4
5377-12455184,Lindt & Sprungli (International) AG,S - PER - Communication,Sev 3
5377-12455315,MAPA SPONTEX HQ,S - PER - New Map,Sev 4
5377-12456018,KATZ GROUP INC,S - PER - parent request,Sev 4
5377-12469304,Schlueter-Systems KG,S - PER - parent request,Sev 4
5377-12469584,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 4
5377-12472302,Kennametal Inc,S - PER - parent request,Sev 3
5377-12481696,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 4
5377-12482122,Hilti Inc,S - PER - parent request,Sev 3
5377-12489770,KATZ GROUP INC,S - PER - parent request,Sev 4
5377-12491856,Lindt & Sprungli (International) AG,S - PER - New Map,Sev 4
5377-12491880,Lindt & Sprungli (International) AG,S - PER - New Map,Sev 4
5377-12491887,Lindt & Sprungli (International) AG,S - PER - New Map,Sev 4
5377-12492377,Toyota Material Handling Europe AB,S - PER - parent request,Sev 3
5377-12492843,Schlueter-Systems KG,S - PER - New Map,Sev 4
5377-12499505,Veritas,S - PER - Communication,Sev 4
5377-12500211,"Schneider Enterprise Resources, LLC",S - PER - parent request,Sev 4
5377-12515204,Cinram UK Ltd.,S - PER - parent request,Sev 3
5377-12526941,Lindt & Sprungli (International) AG,S - PER - parent request,Sev 3
5377-12543160,Hilti Inc,S - PER - parent request,Sev 3
5377-12547489,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 3
5377-12551013,Toyota Material Handling Europe AB,S - PER - New TP,Sev 2
5377-12561662,Hilti Inc,S - PER - New Map,Sev 2
5377-12561712,Hilti Inc,S - PER - New Map,Sev 4
5377-12561715,Hilti Inc,S - PER - New Map,Sev 3
5377-12573469,Makita USA Inc,S - PER - parent request,Sev 4
5377-12576913,Makita USA Inc,S - PER - New Map,Sev 4
5377-12580101,"Schneider Enterprise Resources, LLC",S - PER - Communication,Sev 4
5377-12580233,Makita USA Inc,S - PER - New Map,Sev 4
5377-12580491,"Xerox Capital Services, LLC.",S - PER - parent request,Sev 4
5377-12585615,Hilti Inc,S - PER - parent request,Sev 3
5377-12586765,"Sterling Commerce, Inc. - Single Sign On",S - PER - parent request,Sev 3
5377-12586792,Twin Disc Incorporated,S - PER - parent request,Sev 4
5377-12588670,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 3
5377-12588946,NEC Display Solutions Europe GmbH,S - PER - parent request,Sev 3
5377-12592778,ArvinMeritor Inc (MI),S - PER - parent request,Sev 3
5377-12601452,Boxal,S - PER - Map Change,Sev 3
5377-12601532,Boxal,S - PER - Map Change,Sev 3
5377-12601556,Boxal,S - PER - Map Change,Sev 3
5377-12601996,Leggett & Platt Incorporated,S - PER - parent request,Sev 4
5377-12606206,Leggett & Platt Incorporated,S - PER - parent request,Sev 4
5377-12608040,ATALANTA CORP,S - PER - parent request,Sev 3
5377-12610611,Toyota Material Handling Europe AB,S - PER - parent request,Sev 3
5377-12610840,Toyota Material Handling Europe AB,S - PER - parent request,Sev 3
5377-12611065,"AT&T Services, Inc.",S - PER - parent request,Sev 3
5377-12612901,ArvinMeritor Inc (MI),S - PER - Communication,Sev 3
5377-12613028,Cinram UK Ltd.,S - PER - parent request,Sev 3
5377-12613134,ATALANTA CORP,S - PER - New Map,Sev 4
5377-12618570,Hilti Inc,S - PER - New Map,Sev 4
5377-12618573,Hilti Inc,S - PER - Communication,Sev 3
5377-12618574,Hilti Inc,S - PER - New TP,Sev 3
5377-12618590,"Sterling Commerce, Inc. - Single Sign On",S - PER - New Map,Sev 4
5377-12625967,Paraco Gas Corp,S - PER - parent request,Sev 3
5377-12626463,"Alfa Wassermann Diagnostic Technologies, LLC",S - PER - parent request,Sev 3
5377-12627687,Paraco Gas Corp,S - PER - New Map,Sev 4
5377-12630030,Westwood Shipping Lines,S - PER - parent request,Sev 3
5377-12637317,YVON MAU,S - PER - parent request,Sev 4
5377-12637325,YVON MAU,S - PER - parent request,Sev 4
5377-12639398,Hilti Inc,S - PER - parent request,Sev 3
5377-12640924,Krono Services GmbH,S - PER - parent request,Sev 3
5377-12641927,ATALANTA CORP,S - PER - parent request,Sev 2
5377-12642303,Univar North America Corporation - CaaS,S - PER - parent request,Sev 3
5377-12643503,"CEVA Logistics US, Inc.",S - PER - parent request,Sev 4
5377-12643587,Westwood Shipping Lines,S - PER - New Map,Sev 4
5377-12644938,Tesla Motors,S - PER - parent request,Sev 4
5377-12646303,"Sterling Commerce, Inc. - Single Sign On",S - PER - parent request,Sev 3
5377-12646304,"Sterling Commerce, Inc. - Single Sign On",S - PER - parent request,Sev 3
5377-12650753,"Sterling Commerce, Inc. - Single Sign On",S - PER - Communication,Sev 4
