"Ticket Number","Account Name","Category","Severity"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12746241","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746241","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746241","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746241","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12746273","Lindt & Sprüngli (NA) Inc","S - PER - New Map","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-12769252","Pitney Bowes Inc","S - Map Research","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13182025","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13279425","Hitachi Metals America, Limited","S - PER - New Map","Sev 4"
"5377-13279425","Hitachi Metals America, Limited","S - PER - New Map","Sev 4"
"5377-13279425","Hitachi Metals America, Limited","S - PER - New Map","Sev 4"
"5377-13279425","Hitachi Metals America, Limited","S - PER - New Map","Sev 4"
"5377-13279459","Hitachi Metals America, Limited","S - PER - New Map","Sev 4"
"5377-13279459","Hitachi Metals America, Limited","S - PER - New Map","Sev 4"
"5377-13279459","Hitachi Metals America, Limited","S - PER - New Map","Sev 4"
"5377-13279459","Hitachi Metals America, Limited","S - PER - New Map","Sev 4"
"5377-13332845","Kraft Foods, Inc.+4970542","S - PER - New Map","Sev 4"
"5377-13332845","Kraft Foods, Inc.+4970542","S - PER - New Map","Sev 4"
"5377-13332845","Kraft Foods, Inc.+4970542","S - PER - New Map","Sev 4"
"5377-13332845","Kraft Foods, Inc.+4970542","S - PER - New Map","Sev 4"
"5377-13337565","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-13369226","PrimeSource Building Products","S - PER - Map Change","Sev 3"
"5377-13369226","PrimeSource Building Products","S - PER - Map Change","Sev 3"
"5377-13423492","LENOVO (UNITED STATES) INC.","S - PER - parent request","Sev 4"
"5377-13423492","LENOVO (UNITED STATES) INC.","S - PER - parent request","Sev 4"
"5377-13423492","LENOVO (UNITED STATES) INC.","S - PER - parent request","Sev 4"
"5377-13426842","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-13426842","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-13426842","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-13426842","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 2"
"5377-13441894","Ardex, Inc.","S - PER - New Map","Sev 4"
"5377-13441894","Ardex, Inc.","S - PER - New Map","Sev 4"
"5377-13441894","Ardex, Inc.","S - PER - New Map","Sev 4"
"5377-13441894","Ardex, Inc.","S - PER - New Map","Sev 4"
"5377-13441894","Ardex, Inc.","S - PER - New Map","Sev 4"
"5377-13441894","Ardex, Inc.","S - PER - New Map","Sev 4"
"5377-13441894","Ardex, Inc.","S - PER - New Map","Sev 4"
"5377-13487302","Russell A Farrow Limited","S - PER - New Map","Sev 4"
"5377-13487302","Russell A Farrow Limited","S - PER - New Map","Sev 4"
"5377-13487302","Russell A Farrow Limited","S - PER - New Map","Sev 4"
"5377-13487302","Russell A Farrow Limited","S - PER - New Map","Sev 4"
"5377-13487302","Russell A Farrow Limited","S - PER - New Map","Sev 4"
"5377-13504970","Cox Wood Preserving Company","S - PER - New Map","Sev 4"
"5377-13570900","LENOVO (UNITED STATES) INC.","S - PER - Map Change","Sev 4"
"5377-13570900","LENOVO (UNITED STATES) INC.","S - PER - Map Change","Sev 4"
"5377-13570900","LENOVO (UNITED STATES) INC.","S - PER - Map Change","Sev 4"
"5377-13570900","LENOVO (UNITED STATES) INC.","S - PER - Map Change","Sev 4"
"5377-13570900","LENOVO (UNITED STATES) INC.","S - PER - Map Change","Sev 4"
"5377-13577752","BRADY CORPORATION","S - PER - New Map","Sev 4"
"5377-13603915","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-13603915","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-13603915","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-13603915","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-13603915","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-13603915","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-13603915","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
"5377-13603915","CEVA Logistics US, Inc.","S - PER - New Map","Sev 2"
