"Ticket Number","Account Name","Category","Severity"
"5377-10507701","Micron Technology Inc","S - PER - parent request","Sev 4"
"5377-10947132","ThyssenKrupp Technologies AG","S - PER - Map Change","Sev 2"
"5377-10947132","ThyssenKrupp Technologies AG","S - PER - Map Change","Sev 2"
"5377-10950795","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-10950795","ThyssenKrupp Technologies AG","S - PER - New Map","Sev 4"
"5377-11198508","Krono Services GmbH","S - PER - parent request","Sev 3"
"5377-11198508","Krono Services GmbH","S - PER - parent request","Sev 3"
"5377-11547663","Hexpol Compounding, LLC","S - PER - New Map","Sev 4"
"5377-11547663","Hexpol Compounding, LLC","S - PER - New Map","Sev 4"
"5377-11547663","Hexpol Compounding, LLC","S - PER - New Map","Sev 4"
"5377-11883101","Toyota Material Handling Europe AB","S - PER - parent request","Sev 4"
"5377-11883101","Toyota Material Handling Europe AB","S - PER - parent request","Sev 4"
"5377-11883101","Toyota Material Handling Europe AB","S - PER - parent request","Sev 4"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-11948129","The Jordans & Ryvita Company Limited","S - PER - parent request","Sev 3"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12131555","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12135566","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12135572","Elkay Manufacturing Company Inc","S - PER - New Map","Sev 4"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12368376","Allied Bakeries, a division of ABF Grain Products Limited","S - PER - New Map","Sev 2"
"5377-12371361","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12371361","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12371361","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12371361","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12371361","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12371361","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12371361","Crocs, Inc.","S - PER - New Map","Sev 4"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12547489","CEVA Logistics US, Inc.","S - PER - parent request","Sev 3"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12555693","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595549","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595555","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595563","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12595576","Celgene Corporation","S - PER - New Map","Sev 2"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12596621","RS Components UK","S - Map Research","Sev 3"
"5377-12602041","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602041","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602041","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602041","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602041","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602041","TimkenSteel Corp","S - PER - New Map","Sev 4"
"5377-12602510","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12602521","Celgene Corporation","S - PER - New Map","Sev 4"
"5377-12604985","Toyota Material Handling Europe AB","S - PER - New Map","Sev 2"
"5377-12604985","Toyota Material Handling Europe AB","S - PER - New Map","Sev 2"
